-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   3 ;    3 ;   1 ;  40.00 ;  1 ; SE            ;    49464.5 ;   3952.0 ;  3242.70 ;   393.00 ; 37650.44 ;     2.03 ;     0.00 ;     0.00 ;    6341.39 ;  4000.00 ;  6300.00 ;     0.00 ;  16776.2 ;      95335.80 ;    46.66 ;     101971.47 ;    49.91 ;   96.32 ;
   3 ;    3 ;   2 ;  46.00 ;  1 ; SE            ;    46480.8 ;   3952.0 ;  3244.70 ;   393.00 ; 34496.18 ;   114.86 ;     0.00 ;     0.00 ;    6574.78 ;  1900.00 ;  6773.71 ;     0.00 ;  16776.2 ;      95335.80 ;    46.66 ;     101971.47 ;    49.91 ;   95.38 ;
   3 ;    3 ;   3 ;  82.00 ;  1 ; SE            ;    37804.6 ;   3952.0 ;  2705.70 ;   393.00 ; 25855.08 ;   115.60 ;     0.00 ;     0.00 ;    6650.42 ;  1900.00 ;  6295.02 ;     0.00 ;  16776.2 ;      95335.80 ;    46.66 ;     101971.47 ;    49.91 ;   90.13 ;
   3 ;    3 ;  -  ;   -    ;  1 ; SE            ;    42956.4 ;   3952.0 ;  2981.14 ;   393.00 ; 31029.52 ;    88.36 ;     0.00 ;     0.00 ;    6556.13 ;  2400.00 ;  6427.28 ;     0.00 ;  16776.2 ;      95335.80 ;    46.66 ;     101971.47 ;    49.91 ;   93.04 ;
   3 ;    3 ;   1 ;  40.00 ;  2 ; S             ;    16438.4 ;   1773.0 ;   665.00 ;     0.00 ;  5442.20 ;     0.00 ;     0.00 ;     0.00 ;    8558.20 ;    -     ;    -     ;     0.00 ;   1111.0 ;       5784.82 ;    29.07 ;       6283.42 ;    31.58 ;   96.32 ;
   3 ;    3 ;   2 ;  46.00 ;  2 ; S             ;    14575.3 ;   1773.0 ;   665.00 ;     0.00 ;  3671.37 ;     0.00 ;     0.00 ;     0.00 ;    8465.93 ;    -     ;    -     ;     0.00 ;   1111.0 ;       5784.82 ;    29.07 ;       6283.42 ;    31.58 ;   95.38 ;
   3 ;    3 ;   3 ;  82.00 ;  2 ; S             ;    11329.5 ;   1773.0 ;   665.00 ;     0.00 ;  1619.90 ;     0.00 ;     0.00 ;     0.00 ;    7271.60 ;    -     ;    -     ;     0.00 ;   1111.0 ;       5784.82 ;    29.07 ;       6283.42 ;    31.58 ;   90.13 ;
   3 ;    3 ;  -  ;   -    ;  2 ; S             ;    13434.6 ;   1773.0 ;   665.00 ;     0.00 ;  3091.68 ;     0.00 ;     0.00 ;     0.00 ;    7904.95 ;    -     ;    -     ;     0.00 ;   1111.0 ;       5784.82 ;    29.07 ;       6283.42 ;    31.58 ;   93.04 ;
   3 ;    3 ;   1 ;  40.00 ;  3 ; NE            ;    13096.4 ;   4382.0 ;   399.20 ;     0.00 ;  3914.79 ;     0.00 ;     0.00 ;     0.00 ;    4400.41 ;    -     ;    -     ;     0.00 ;   1961.9 ;      31078.72 ;    60.22 ;      33012.48 ;    63.97 ;   96.32 ;
   3 ;    3 ;   2 ;  46.00 ;  3 ; NE            ;    12671.3 ;   4382.0 ;   399.20 ;     0.00 ;  3157.10 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   1961.9 ;      31078.72 ;    60.22 ;      33012.48 ;    63.97 ;   96.32 ;
