-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   3 ;    3 ;   2 ;  46.00 ;  2 ; S             ;    14575.3 ;   1773.0 ;   665.00 ;     0.00 ;  2026.08 ;     0.00 ;     0.00 ;     0.00 ;   10111.22 ;    -     ;    -     ;     0.00 ;    588.6 ;       4839.66 ;    24.32 ;       5009.98 ;    25.18 ;  112.54 ;
   3 ;    3 ;   3 ;  82.00 ;  2 ; S             ;    11329.5 ;   1773.0 ;   665.00 ;     0.00 ;  1514.19 ;     0.00 ;     0.00 ;     0.00 ;    7377.31 ;    -     ;    -     ;     0.00 ;    588.6 ;       4839.66 ;    24.32 ;       5009.98 ;    25.18 ;  105.77 ;
   3 ;    3 ;  -  ;   -    ;  2 ; S             ;    13434.6 ;   1773.0 ;   665.00 ;     0.00 ;  2127.26 ;     0.00 ;     0.00 ;     0.00 ;    8869.38 ;    -     ;    -     ;     0.00 ;    588.6 ;       4839.66 ;    24.32 ;       5009.98 ;    25.18 ;  112.12 ;
   3 ;    3 ;   1 ;  40.00 ;  3 ; NE            ;    13096.4 ;   4382.0 ;   399.20 ;     0.00 ;  3949.98 ;     0.00 ;     0.00 ;     0.00 ;    4365.22 ;    -     ;    -     ;     0.00 ;   2037.5 ;      31224.21 ;    60.51 ;      33177.22 ;    64.29 ;  113.33 ;
   3 ;    3 ;   2 ;  46.00 ;  3 ; NE            ;    12671.3 ;   4382.0 ;   399.20 ;     0.00 ;  3157.10 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2037.5 ;      31224.21 ;    60.51 ;      33177.22 ;    64.29 ;  113.33 ;
   3 ;    3 ;   3 ;  82.00 ;  3 ; NE            ;    10979.2 ;   4382.0 ;   399.20 ;     0.00 ;  2125.00 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   2037.5 ;      31224.21 ;    60.51 ;      33177.22 ;    64.29 ;  112.61 ;
   3 ;    3 ;  -  ;   -    ;  3 ; NE            ;    11946.6 ;   4382.0 ;   399.20 ;     0.00 ;  2842.12 ;     0.00 ;     0.00 ;     0.00 ;    4323.29 ;    -     ;    -     ;     0.00 ;   2037.5 ;      31224.21 ;    60.51 ;      33177.22 ;    64.29 ;  112.98 ;
   3 ;    3 ;   1 ;  40.00 ;  4 ; N             ;     6166.1 ;    490.0 ;   650.50 ;     0.00 ; 18025.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3597.4 ;       9138.75 ;    60.64 ;      10422.98 ;    69.16 ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ;  4 ; N             ;     6119.8 ;    490.0 ;   650.50 ;     0.00 ; 17979.30 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3597.4 ;       9138.75 ;    60.64 ;      10422.98 ;    69.16 ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ;  4 ; N             ;     5572.8 ;    490.0 ;   650.50 ;     0.00 ; 16132.30 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3597.4 ;       9138.75 ;    60.64 ;      10422.98 ;    69.16 ;    0.00 ;
