-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   3 ;    3 ;   1 ;  40.00 ;  4 ; N             ;     6166.1 ;    490.0 ;   650.50 ;     0.00 ; 18025.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3597.4 ;       9138.75 ;    60.64 ;      10422.98 ;    69.16 ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ;  4 ; N             ;     6119.8 ;    490.0 ;   650.50 ;     0.00 ; 17979.30 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3597.4 ;       9138.75 ;    60.64 ;      10422.98 ;    69.16 ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ;  4 ; N             ;     5572.8 ;    490.0 ;   650.50 ;     0.00 ; 16132.30 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3597.4 ;       9138.75 ;    60.64 ;      10422.98 ;    69.16 ;    0.00 ;
   3 ;    3 ;  -  ;   -    ;  4 ; N             ;     5863.8 ;    490.0 ;   650.50 ;     0.00 ; 17088.81 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3597.4 ;       9138.75 ;    60.64 ;      10422.98 ;    69.16 ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   4 ;    4 ;   1 ;  40.00 ;  1 ; SE            ;    48805.6 ;   3952.0 ;  3242.70 ;   393.00 ; 38085.92 ;    21.63 ;     0.00 ;     0.00 ;    5266.60 ;  4000.00 ;  6300.00 ;     0.00 ;  16590.2 ;     101714.68 ;    49.78 ;     108228.06 ;    52.97 ;  101.00 ;
   4 ;    4 ;   2 ;  46.00 ;  1 ; SE            ;    45861.6 ;   3952.0 ;  3244.70 ;   393.00 ; 34315.75 ;   115.60 ;     0.00 ;     0.00 ;    6136.75 ;  2111.90 ;  7000.00 ;     0.00 ;  16590.2 ;     101714.68 ;    49.78 ;     108228.06 ;    52.97 ;   99.70 ;
