-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   3 ;    3 ;   3 ;  82.00 ;  3 ; NE            ;    10979.2 ;   4382.0 ;   886.25 ;     0.00 ;  1637.95 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   1849.1 ;      31121.53 ;    60.31 ;      32882.00 ;    63.72 ;  125.33 ;
   3 ;    3 ;  -  ;   -    ;  3 ; NE            ;    11946.6 ;   4382.0 ;  1099.64 ;     0.00 ;  2843.90 ;     0.00 ;     0.00 ;     0.00 ;    3621.07 ;    -     ;    -     ;     0.00 ;   1849.1 ;      31121.53 ;    60.31 ;      32882.00 ;    63.72 ;  126.64 ;
   3 ;    3 ;   1 ;  40.00 ;  4 ; N             ;     6166.1 ;    490.0 ;   650.50 ;     0.00 ; 18025.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3630.6 ;       9208.26 ;    61.10 ;      10515.46 ;    69.77 ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ;  4 ; N             ;     6119.8 ;    490.0 ;   650.50 ;     0.00 ; 17979.30 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3630.6 ;       9208.26 ;    61.10 ;      10515.46 ;    69.77 ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ;  4 ; N             ;     5572.8 ;    490.0 ;   650.50 ;     0.00 ; 16132.30 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3630.6 ;       9208.26 ;    61.10 ;      10515.46 ;    69.77 ;    0.00 ;
   3 ;    3 ;  -  ;   -    ;  4 ; N             ;     5863.8 ;    490.0 ;   650.50 ;     0.00 ; 17088.81 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3630.6 ;       9208.26 ;    61.10 ;      10515.46 ;    69.77 ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   4 ;    4 ;   1 ;  40.00 ;  1 ; SE            ;    48805.6 ;   3952.0 ;  3280.80 ;   393.00 ; 36251.00 ;    31.73 ;     0.00 ;     0.00 ;    7073.53 ;  2325.71 ;  6300.00 ;     0.00 ;  14464.0 ;      96406.27 ;    47.18 ;     101057.76 ;    49.46 ;  127.19 ;
   4 ;    4 ;   2 ;  46.00 ;  1 ; SE            ;    45861.6 ;   3952.0 ;  3282.80 ;   393.00 ; 33771.39 ;   115.60 ;     0.00 ;     0.00 ;    6643.01 ;  1900.00 ;  6701.86 ;     0.00 ;  14464.0 ;      96406.27 ;    47.18 ;     101057.76 ;    49.46 ;  126.15 ;
   4 ;    4 ;   3 ;  82.00 ;  1 ; SE            ;    37301.0 ;   3952.0 ;  3273.80 ;   393.00 ; 26816.11 ;   115.60 ;     0.00 ;     0.00 ;    4617.69 ;  1900.00 ;  4006.09 ;     0.00 ;  14464.0 ;      96406.27 ;    47.18 ;     101057.76 ;    49.46 ;  120.83 ;
   4 ;    4 ;  -  ;   -    ;  1 ; SE            ;    42384.2 ;   3952.0 ;  3277.93 ;   393.00 ; 30966.93 ;    95.63 ;     0.00 ;     0.00 ;    5756.97 ;  2001.36 ;  5290.39 ;     0.00 ;  14464.0 ;      96406.27 ;    47.18 ;     101057.76 ;    49.46 ;  123.80 ;
   4 ;    4 ;   1 ;  40.00 ;  2 ; S             ;    15776.0 ;   1773.0 ;   665.00 ;     0.00 ;  4154.48 ;     0.00 ;     0.00 ;     0.00 ;    9183.52 ;    -     ;    -     ;     0.00 ;    572.5 ;       4988.47 ;    25.07 ;       5069.56 ;    25.48 ;  127.19 ;
